step,reference,input,output
324,1,0.8379997879531308,0.23793618601756705
325,1,1.0491051124283715,0.9085684237115186
326,1,1.2051142269061812,0.48177204916581173
327,1,1.3555595985003075,0.8996457917022992
328,1,1.513521300084507,0.4533979851422112
329,1,1.7234934813983631,0.6136779472649913
330,1,1.8964467667740803,0.9639105367868246
331,1,1.9334214836719896,1.0634317789006735
332,1,1.943245811206239,0.6594851207017394
333,1,2.015108019168724,1.0250272305518309
334,1,2.0948947224528864,0.742353927168721
335,-1,1.9243881494624158,0.665234327379532
336,-1,1.2432623714122606,0.6290309347969422
337,-1,0.2721575852118835,0.9336072995530829
338,-1,-0.6074257894204766,0.023269617504898282
339,-1,-1.109003468037629,-0.6672660856905898
340,-1,-1.2268018278260915,-1.0665025404307926
341,-1,-1.2699201559755313,-0.322688772633726
342,-1,-1.4622152714748635,-0.7371171631661617
343,-1,-1.6287093073586245,-1.0323659618570886
344,-1,-1.6749789581015868,-0.798838958546945
345,-1,-1.7177522736985964,-0.8643224023123579
346,-1,-1.825033169556233,-0.6411775108545016
347,-1,-1.9602595078821667,-0.8997816062820793
348,-1,-1.9761956929680395,-1.3789853118899338
349,-1,-1.9510984815776782,-0.4113502753165649
350,-1,-2.076097688262319,-0.8380286015070025
351,-1,-2.273489848052259,-0.552849826378738
352,-1,-2.4291709769689094,-0.9553600798171747
353,-1,-2.4788302788294048,-1.0022315366377699
354,-1,-2.4259163492280096,-1.2688757342192176
355,1,-2.047121636198766,-1.0356191568362125
356,1,-1.0690393466296084,-1.5585768275118248
357,1,0.12691199446751722,-0.42035467835623347
358,1,0.9531961456817283,0.0341393092707305
359,1,1.2918335063508086,0.9584511582001687
360,-1,1.1045153025946917,0.47379147552770495
361,-1,0.43925955764484614,0.368125863128463
362,-1,-0.28509973167500724,-0.13942679120025714
363,-1,-0.8143230869833751,0.028016886681397457
364,-1,-1.1926196902952062,-0.5868356165944588
365,1,-1.0740009471295089,-1.171774742447184
366,1,-0.23239130433426025,-0.6636790157517933
367,1,0.6948124659161451,0.11745341638669596
368,1,1.2081470334330908,0.40343838100450635
369,1,1.4488683078029985,0.47956346928679305
370,1,1.5952246780628863,1.0103324345708584
371,1,1.6631545714806197,0.8008383732722234
372,1,1.7585392755755476,0.5890376565623423
373,1,2.0055702243496145,0.19001235561629626
374,1,2.313277769756434,0.828443951012564
375,1,2.4774576309059455,0.8598352612107827
376,1,2.367212632103527,1.9736228876500954
377,1,2.1096825284220833,0.7804126198497123
378,1,2.106298186789921,0.4909530373764412
379,1,2.3396893953923303,0.774999510905894
380,1,2.526552609347746,0.8240286894729887
381,1,2.4967558188750063,1.6279033639967475
382,1,2.257630563708801,1.379908498099537
383,1,2.1288473993761503,0.4657794732510355
384,1,2.256057078609519,0.9224162861235915
385,1,2.3529950724564817,1.2190813903096365
386,1,2.2566928838667097,1.3076334924944801
387,1,2.092406646650325,1.1534985720785274
388,1,2.001971650832961,1.0329640322325353
389,1,2.049420375918765,0.593625127618671
390,-1,2.0096415996918155,0.17572889983397377
391,-1,1.509332076185749,0.5811714379021491
392,-1,0.7169434794699543,0.20006625553030327
393,-1,0.02487044275048017,0.06841679503187159
394,-1,-0.48569015487572487,-0.11998255746710702
395,-1,-0.9128132619316504,-0.1605034083136691
396,-1,-1.3148456871567737,-0.2719034086388298
397,-1,-1.5982813101065279,-0.9462146549931112
398,-1,-1.670387677050389,-0.9982688062776117
399,-1,-1.6576691720888697,-0.8572619070009001
400,1,-1.42017743040519,-0.8142707358047239
401,1,-0.6232391788367149,-1.1403513417616598
402,1,0.38946031806403797,-0.11796921067111629
403,1,1.0323791169904775,0.46026138603106376
404,1,1.3501866308300676,0.09549656902463521
405,-1,1.369532572099934,0.47266832050697893
406,-1,0.7719978265655276,0.851712152272204
407,-1,-0.11319817291929204,-0.05079327669451095
408,-1,-0.719715245053821,-0.28893482755662697
409,-1,-1.058326193725994,-0.24620518862277568
410,1,-1.0544242794244116,-0.5677811218400634
411,1,-0.42067398580975124,-0.7623260928876097
412,1,0.5051935286131005,-0.29844165000752193
413,1,1.0781490502020286,1.0907832157651383
414,1,1.1968832606778779,0.5061327551906332
415,-1,0.8999001662425634,1.306108354321677
416,-1,0.11153140647480933,0.19609180211851823
417,-1,-0.6911192151619676,0.09420311160640243
418,-1,-1.2321033088574698,-0.1560496076600577
419,-1,-1.5452023287627945,-0.7801477295676512
420,1,-1.402772127019734,-0.7595463646751992
421,1,-0.7068187871918582,-0.28685063130017624
422,1,0.077603114493497,-0.10448134978188445
423,1,0.606680396289716,0.40120540956147444
424,1,0.8374753919773238,0.9417546125347944
425,1,0.8234094095994111,1.2766656105726113
426,1,0.7581294932887639,0.68848433161495
427,1,0.8712741829399566,0.4941510195372073
428,1,1.1897564233920253,0.15545733439019976
429,1,1.613156309371456,0.2233817081856323
430,1,2.016938494747537,0.3478928436831845
431,1,2.253080021129133,1.0915450616985372
432,1,2.2437400615895813,1.1774669846310857
433,1,2.1275858724703975,1.1046497547411807
434,1,2.0270549136860607,1.2368233121074959
