step,reference,input,output
188,1,0.604408066114654,0.18732806301349175
189,1,0.972414198336667,0.4027519241461039
190,1,1.2302704057763183,0.5361583897845403
191,1,1.4464337123104496,0.6484127035345812
192,1,1.617880748551711,0.7426472727460023
193,1,1.7413515043440941,0.8119473453536529
194,1,1.82895155384863,0.8602153813456347
195,-1,1.6095421281807567,0.8953585637784739
196,-1,0.846176731503529,0.6377570967791166
197,-1,-0.04912349302023107,0.15813090048854234
198,-1,-0.6653827027334014,-0.22066420945599957
199,-1,-1.0177347827142513,-0.42752097780795706
200,1,-0.9795776713631913,-0.5545791148208725
201,1,-0.374367237846292,-0.3777153188456403
202,1,0.39287298400474713,0.03146052797654475
203,1,0.9176444480900496,0.3585209686347159
204,1,1.2059880573062765,0.5300178254026214
205,1,1.4047741237291975,0.6315040596759555
206,1,1.575992299552893,0.7193800580907939
207,1,1.7137569110942712,0.7951415908936016
208,1,1.8124378367584941,0.8508131825257468
209,1,1.8817811456537143,0.8890907391584076
210,1,1.9331749166445027,0.9168287956774522
211,1,1.9723796928334292,0.9380734539155554
212,1,2.001793743868668,0.9542090908987572
213,1,2.0234245444096977,0.9661073530886273
214,1,2.03934075140961,0.9748178271496054
215,1,2.05117368412325,0.981272596562855
216,1,2.060001467340445,0.9860947242022937
217,1,2.066561819691794,0.9896858690139564
218,1,2.071421797534713,0.9923464953931701
219,1,2.0750248759242096,0.9943170135834501
220,-1,1.7933260853366517,0.995780005790987
221,-1,0.9826240239422767,0.7124923624005811
222,-1,0.05186598182514057,0.21342193324603484
223,-1,-0.5905005417879692,-0.179722330686566
224,-1,-0.9620872475825267,-0.3971044012521852
225,1,-0.9382279580810677,-0.531964721743059
226,1,-0.3436768013409751,-0.36092460902887
227,1,0.4156434110036777,0.04391628629277183
228,1,0.9345460131979119,0.3677642156036187
229,1,1.2185377429509634,0.536881025052158
230,1,1.414091645377579,0.6366002230250013
231,1,1.5829086811788997,0.7231631064776041
232,1,1.7188907688534274,0.797949542616119
233,1,1.8162489171058018,0.8528975659371306
234,1,1.8846104110892838,0.8906381504052145
235,-1,1.6509002463728608,0.9179775538300627
236,-1,0.8768734073509505,0.6545512191359124
237,-1,-0.02634843427735553,0.1705891920865088
238,-1,-0.648477699273876,-0.21141908191822334
239,-1,-1.0051825446266371,-0.4206563821276419
240,1,-0.9702582549217618,-0.5494819151354641
241,1,-0.36744944963028586,-0.37393150113979473
242,1,0.39800788593885283,0.03426905079914401
